"In-Situ Inc.","Troll",,,,,
,,,,,,
"Report generated:",10/2/2003,15:16:09,,,,
"Report from file:","J:\shreiner\SsFL\Northeast Area Studies\Pumping Tests\C-1\bin Files\New to be updated\SN13360 2003-08-25 110000 WS-14 C1 P-test.bin",,,,,
"DataMgr Version",3.7,,,,,
,,,,,,
"Serial number:",13360,,,,,
"Firmware Version",7.1,,,,,
"Unit name: ","SP-4000",,,,,
,,,,,,
"Test name:",,"WS-14 C1 P-test",,,,
,,,,,,
"Test defined on:",8/21/2003,11:10:26,,,,
"Test scheduled for:",8/25/2003,11:00:00,,,,
"Test started on:",8/25/2003,11:00:00,,,,
"Test stopped on:","N/A","N/A",,,,
"Test extracted on:",9/30/2003,10:50:15,,,,
,,,,,,
"Data gathered using Logarithmic testing",,,,,,
"   Maximum time between data points:      10.0000","Minutes.",,,,,
"   Number of data samples:",5316,,,,,
,,,,,,
,,,,,,
"TOTAL DATA SAMPLES",5316,,,,,
,,,,,,
"Channel number [2]",,,,,,
"  Measurement type:","Pressure",,,,,
"  Channel name:","WS14 dtw",,,,,
37858.63037037040000000000,247.7380,4.1290,0.1720,354.0270,-0.0180,1524.2030
37858.63731481480000000000,257.7380,4.2956,0.1790,354.0090,-0.0360,1524.2210
37858.64425925930000000000,267.7380,4.4623,0.1859,354.0090,-0.0360,1524.2210
37858.65120370370000000000,277.7380,4.6290,0.1929,354.0090,-0.0360,1524.2210
37858.65814814810000000000,287.7380,4.7956,0.1998,354.0090,-0.0360,1524.2210
37858.66509259260000000000,297.7380,4.9623,0.2068,353.9950,-0.0500,1524.2350
37858.67203703700000000000,307.7380,5.1290,0.2137,353.9950,-0.0500,1524.2350
37858.67898148150000000000,317.7380,5.2956,0.2207,353.9950,-0.0500,1524.2350
37858.68592592590000000000,327.7380,5.4623,0.2276,353.9810,-0.0640,1524.2490
37858.69287037040000000000,337.7380,5.6290,0.2345,353.9810,-0.0640,1524.2490
37858.69981481480000000000,347.7380,5.7956,0.2415,353.9810,-0.0640,1524.2490
37858.70675925930000000000,357.7380,5.9623,0.2484,353.9810,-0.0640,1524.2490
37858.71370370370000000000,367.7380,6.1290,0.2554,353.9620,-0.0830,1524.2680
37858.72064814810000000000,377.7380,6.2956,0.2623,353.9620,-0.0830,1524.2680
37858.72759259260000000000,387.7380,6.4623,0.2693,353.9620,-0.0830,1524.2680
37858.73453703700000000000,397.7380,6.6290,0.2762,353.9620,-0.0830,1524.2680
37858.74148148150000000000,407.7380,6.7956,0.2832,353.9620,-0.0830,1524.2680
37858.74842592590000000000,417.7380,6.9623,0.2901,353.9620,-0.0830,1524.2680
37858.75537037040000000000,427.7380,7.1290,0.2970,353.9620,-0.0830,1524.2680
37858.76231481480000000000,437.7380,7.2956,0.3040,353.9620,-0.0830,1524.2680
37858.76925925930000000000,447.7380,7.4623,0.3109,353.9620,-0.0830,1524.2680
37858.77620370370000000000,457.7380,7.6290,0.3179,353.9620,-0.0830,1524.2680
37858.78314814810000000000,467.7380,7.7956,0.3248,353.9620,-0.0830,1524.2680
37858.79009259260000000000,477.7380,7.9623,0.3318,353.9620,-0.0830,1524.2680
37858.79703703700000000000,487.7380,8.1290,0.3387,353.9620,-0.0830,1524.2680
37858.80398148150000000000,497.7380,8.2956,0.3457,353.9620,-0.0830,1524.2680
37858.81092592590000000000,507.7380,8.4623,0.3526,353.9620,-0.0830,1524.2680
37858.81787037040000000000,517.7380,8.6290,0.3595,353.9620,-0.0830,1524.2680
37858.82481481480000000000,527.7380,8.7956,0.3665,353.9620,-0.0830,1524.2680
37858.83175925930000000000,537.7380,8.9623,0.3734,353.9620,-0.0830,1524.2680
37858.83870370370000000000,547.7380,9.1290,0.3804,353.9620,-0.0830,1524.2680
37858.84564814810000000000,557.7380,9.2956,0.3873,353.9810,-0.0640,1524.2490
37858.85259259260000000000,567.7380,9.4623,0.3943,353.9810,-0.0640,1524.2490
37858.85953703700000000000,577.7380,9.6290,0.4012,353.9810,-0.0640,1524.2490
37858.86648148150000000000,587.7380,9.7956,0.4082,353.9810,-0.0640,1524.2490
37858.87342592590000000000,597.7380,9.9623,0.4151,353.9810,-0.0640,1524.2490
37858.88037037040000000000,607.7380,10.1290,0.4220,353.9810,-0.0640,1524.2490
37858.88731481480000000000,617.7380,10.2956,0.4290,353.9810,-0.0640,1524.2490
37858.89425925930000000000,627.7380,10.4623,0.4359,353.9810,-0.0640,1524.2490
37858.90120370370000000000,637.7380,10.6290,0.4429,353.9950,-0.0500,1524.2350
37858.90814814810000000000,647.7380,10.7956,0.4498,353.9950,-0.0500,1524.2350
